miss_id,miss_char,miss_count,created_at,updated_at,user_id
40,o,29,2025-04-02 01:34:02.728639+00,2025-04-09 08:02:57.292832+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
14,o,1424,2025-04-02 01:34:00.5443+00,2025-06-30 08:08:30.178325+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
107,s,512,2025-04-02 01:34:13.393836+00,2025-06-30 09:38:28.196373+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
53,r,479,2025-04-02 01:34:05.967761+00,2025-06-30 09:30:14.364779+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
47,e,478,2025-04-02 01:34:05.959512+00,2025-06-30 09:30:14.366067+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
74,l,61,2025-04-02 01:34:06.45692+00,2025-06-30 09:17:29.240987+00,9f27d136-09de-407f-b405-7120b2d55daa
11,n,6,2025-03-27 02:20:21.835784+00,2025-04-03 10:23:33.741103+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
7,i,8,2025-03-27 02:20:21.830467+00,2025-04-03 10:23:33.743521+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
50,a,1087,2025-04-02 01:34:05.963538+00,2025-06-30 09:30:14.367346+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
3,k,4,2025-03-27 02:20:21.825165+00,2025-04-03 10:23:33.746585+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
2,u,9,2025-03-27 02:20:21.823804+00,2025-04-03 10:23:33.749176+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
5,o,7,2025-03-27 02:20:21.827829+00,2025-04-03 10:23:33.751953+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
1,s,6,2025-03-27 02:20:21.816912+00,2025-04-03 10:23:33.753254+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
8,w,2,2025-03-27 02:20:21.831816+00,2025-04-03 10:23:33.754552+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
42,s,17,2025-04-02 01:34:02.731325+00,2025-04-09 08:02:57.294162+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
35,k,40,2025-04-02 01:34:02.721864+00,2025-04-09 08:02:57.295496+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
36,u,36,2025-04-02 01:34:02.723235+00,2025-04-09 08:02:57.296818+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
41,d,10,2025-04-02 01:34:02.729988+00,2025-04-09 08:02:57.298124+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
57,h,253,2025-04-02 01:34:05.973169+00,2025-06-30 07:49:38.661032+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
15,t,1264,2025-04-02 01:34:00.545653+00,2025-06-30 08:08:30.179633+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
101,i,709,2025-04-02 01:34:13.385725+00,2025-06-30 09:38:28.197772+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
103,k,457,2025-04-02 01:34:13.388386+00,2025-06-30 09:38:28.199156+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
387,z,30,2025-04-04 07:55:13.128235+00,2025-06-30 03:43:09.958639+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
29,b,4,2025-04-02 01:34:02.713402+00,2025-04-04 02:06:20.101068+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
207,d,24,2025-04-02 01:40:08.454888+00,2025-06-25 08:02:37.072378+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
210,a,201,2025-04-02 01:40:49.144924+00,2025-06-30 08:00:20.185+00,522f3d6d-e633-426b-bf51-b50dee27ec96
113,b,53,2025-04-02 01:34:13.403484+00,2025-06-26 08:04:41.016973+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
197,m,21,2025-04-02 01:40:08.44158+00,2025-06-27 07:02:22.800584+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
188,o,68,2025-04-02 01:39:56.645739+00,2025-05-23 00:20:20.195879+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
140,t,445,2025-04-02 01:34:37.955152+00,2025-06-27 08:58:50.917042+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
152,r,2098,2025-04-02 01:39:22.291742+00,2025-06-30 09:14:46.782918+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
191,z,22,2025-04-02 01:39:56.649702+00,2025-05-12 03:58:03.715103+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
211,e,171,2025-04-02 01:40:49.146252+00,2025-06-30 08:00:20.187087+00,522f3d6d-e633-426b-bf51-b50dee27ec96
153,o,2143,2025-04-02 01:39:22.293068+00,2025-06-30 07:23:54.591925+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
132,a,441,2025-04-02 01:34:37.943521+00,2025-06-27 08:58:50.920055+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
201,n,96,2025-04-02 01:40:08.446892+00,2025-06-27 07:02:22.803473+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
194,r,38,2025-04-02 01:40:08.437575+00,2025-06-26 08:36:37.760782+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
155,h,682,2025-04-02 01:39:22.295718+00,2025-06-30 09:14:46.784189+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
204,g,13,2025-04-02 01:40:08.45087+00,2025-06-25 08:02:37.076426+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
208,n,177,2025-04-02 01:40:49.141358+00,2025-06-30 08:11:58.487805+00,522f3d6d-e633-426b-bf51-b50dee27ec96
168,s,300,2025-04-02 01:39:49.024708+00,2025-06-30 09:17:23.658519+00,575e0431-1085-4d49-9191-86fd4695b554
195,u,52,2025-04-02 01:40:08.438955+00,2025-06-25 08:02:37.077742+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
144,i,1863,2025-04-02 01:39:22.281135+00,2025-06-30 09:14:46.794453+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
118,i,538,2025-04-02 01:34:17.542399+00,2025-06-30 08:15:35.05267+00,5f19c80d-8883-42f3-9257-f9f899f703d9
200,f,18,2025-04-02 01:40:08.445543+00,2025-06-30 03:47:57.627887+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
193,i,155,2025-04-02 01:40:08.435811+00,2025-06-30 03:47:57.629513+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
185,a,108,2025-04-02 01:39:56.6418+00,2025-05-23 00:20:20.197558+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
